value,trial_type
57.75284726176965,same
50.53065316949676,same
45.82273359602709,same
41.834966881382904,same
49.35981659589209,same
44.31465954852067,same
36.677661786706544,same
29.414931433532796,same
38.03429266637787,same
38.90898765198309,same
41.08012176629191,same
35.937498088553205,same
46.59427452161511,same
35.009131389708294,same
33.94342928760236,same
47.46844174342443,same
44.56805645028343,same
46.58078554628835,same
39.4995935125269,same
41.397359085272704,same
51.04947629922335,same
33.21898943033464,same
43.484224274499006,same
26.098246044127972,same
32.688062376454674,same
55.6189803988525,same
46.71356222291261,same
64.1051181170052,same
35.65696995736456,same
38.395436064022476,same
36.70580194958894,same
51.60451867816684,same
62.39345408892087,same
41.84335451639095,same
47.917284104176666,same
33.2093167811363,same
45.17768889681556,same
35.69809926272202,same
62.845780168959855,same
39.51185772800684,same
47.499008520548394,same
38.2633739120934,same
59.78807400406429,same
55.90953047546176,same
36.70166146704358,same
68.0723437535731,same
41.92028423162107,same
29.45101252207341,same
49.42266773762873,same
42.43723093438524,same
46.83211437101676,same
43.14610274124035,same
37.29809952374581,same
33.56927157251882,same
37.69713116557619,same
46.50743315669225,same
42.19203878912853,same
56.56736310531702,same
29.07598587992995,same
40.226727291135276,same
47.37711051335782,same
44.18314790150757,same
53.48490031370131,same
54.1379481950601,same
31.698159658887537,same
72.28389936301795,same
50.13951379875895,same
57.58623821423776,same
40.956637535441544,same
50.14327561443137,same
46.29463171304462,same
51.35931560982391,same
54.880691537141786,same
45.387009742817504,same
46.81097725850248,same
48.15932938187427,same
31.35200563081141,same
38.45391040821775,same
29.706239001151843,same
47.232376419810755,same
33.83546151139541,same
47.59247885943222,same
38.45694989093479,same
44.455640004686096,same
36.560040087850545,same
38.61937003038636,same
28.701791407491708,same
61.372580522611884,same
34.899854408249546,same
30.770588641794347,same
37.766871261426374,same
30.373614062714648,same
52.04982019533336,same
44.601185421542255,same
31.258114672881835,same
39.30184144349911,same
67.98977159350879,same
34.08673656777368,same
29.492729938174293,same
39.42651549475894,same
36.731055035741534,same
50.232372502712394,same
49.31503507595139,same
57.30412412736956,same
55.75545536768894,same
44.608167109802984,same
56.956630526919554,same
42.97308381788459,same
30.845131125921323,same
48.656830512159935,same
51.44262812213907,same
36.024784789263045,same
52.78399964453261,same
54.20036595526542,same
46.247942957845595,same
70.53989458749051,same
42.95048439789042,same
45.66043695339621,same
52.34000860035544,same
61.225358423046224,same
52.559312095968664,same
48.57947811018946,same
30.551014590166563,same
34.865962366876346,same
49.05831615676821,same
48.95363251322234,same
43.43838150680509,same
42.98007436748136,same
49.04475359989002,same
51.56275159308274,same
43.18361701631344,same
51.217364058129554,same
38.49167060014537,same
30.669787412748345,same
47.641734970243846,same
45.24608005674651,same
36.970585602604764,same
32.723567373773484,same
53.171301042113846,same
33.45838705757999,same
43.70196493820523,same
46.96320187122814,same
41.32400965181552,same
28.53805630926493,same
46.261155101875694,same
45.754191701479705,same
37.362104004327264,same
45.64529063485612,same
51.449792413835404,same
48.839655855723095,same
47.85865270254775,same
48.606242187426126,same
38.985802270503456,same
48.837742767520474,same
43.076281290512384,same
