value,cued,prepost
2.547474561492228,cued,pre
2.973742214575874,cued,pre
2.6456711383033182,cued,pre
3.6210043195835793,cued,pre
3.3005200871973353,cued,pre
3.049704380546793,cued,pre
2.5092747077220405,cued,post
3.181173997454764,cued,post
3.2093008991428187,cued,post
2.5347534389462503,cued,post
3.545459006612948,cued,post
3.283895972100875,cued,post
3.2794733597841454,uncued,pre
3.1879415546207652,uncued,pre
4.008908912672569,uncued,pre
3.6476992418918344,uncued,pre
2.7457978216905974,uncued,pre
2.989732203758872,uncued,pre
3.4628130233441996,uncued,post
3.069601556989216,uncued,post
3.6693185352155293,uncued,post
3.277217580113932,uncued,post
3.342974729132692,uncued,post
2.8606810732292307,uncued,post
