value,trial_type
50.178524657242434,same
42.99823659033973,same
43.38962748097256,same
49.050294122204726,same
34.56305148897584,same
35.88595963782975,same
33.978753113929095,same
54.259130893677145,same
35.355516018522444,same
30.67839705067262,same
42.44432754057247,same
30.397760532663682,same
28.34953751281341,same
36.19636337105741,same
29.035933974965747,same
38.89576103981795,same
58.49286667023036,same
35.587205924395384,same
33.11986815940564,same
49.58820889219138,same
27.70738584633391,same
35.320543780504245,same
31.916482502520893,same
48.71642846268256,same
41.87616741633187,same
39.29013696918676,same
33.53904933563923,same
36.34809704543817,same
38.242058105735104,same
44.70730926970767,same
32.86854478717516,same
41.12489969698309,same
42.0855693141358,same
46.87250960149773,same
43.729458633615344,same
53.154007625394684,same
30.57514195012916,same
39.80466362494525,same
40.55409881656997,same
43.54044493406878,same
50.82078182834445,same
30.497864993365326,same
47.53556915532934,same
43.18788562560584,same
50.469789212090724,same
68.1416509744853,same
40.489446766551346,same
47.015074249234395,same
44.64465230809006,same
47.61124689382678,same
33.880523116710116,same
37.31905261487143,same
43.683157580126895,same
31.634493421237746,same
29.057816163838552,same
52.22743157890852,same
55.08040619521688,same
35.050096167244625,same
31.898615000295322,same
35.399996785307394,same
42.176403872343386,same
27.259243076688946,same
35.82070739441657,same
38.70366695610721,same
47.79480477099916,same
50.610593607881675,same
40.39067255923684,same
40.250035497419745,same
39.03693666554366,same
32.525601485617116,same
41.353527284844354,same
51.48576915525882,same
30.4708032794608,same
40.49577664205248,same
39.19321461058055,same
36.7351705742166,same
33.95575184635661,same
37.52021201819499,same
44.687418357217695,same
32.047069703621496,same
45.27913757067112,same
35.36841861863859,same
53.00332154242523,same
48.267495687928324,same
25.04658329059551,same
41.47809445461103,same
39.38373073297601,same
49.13753808162386,same
34.576369681867426,same
64.13874327959104,same
32.17285289539365,same
42.42316032917102,same
41.09457212180866,same
45.66114359412691,same
47.04397937705385,same
43.591284879966146,same
49.29025699351723,same
43.76889200363099,same
34.87165001628086,same
49.71628991813699,same
47.97446865028857,same
37.97186707437159,same
41.594858892230654,same
36.35075447519289,same
34.655133281924925,same
40.66713230866919,same
41.59266238499374,same
44.60430748680293,same
36.421764521672536,same
32.13318075664458,same
34.745802305041394,same
27.832970170384034,same
49.43444022368123,same
58.04805332832504,same
54.202179032617664,same
34.35613131232459,same
63.846644164424646,same
31.258381533585887,same
47.262045850746205,same
43.35720125365412,same
51.94554695277952,same
37.775837409251956,same
34.78746921603126,same
38.807681249032434,same
32.271105431302495,same
41.52527658214464,same
31.598502297071295,same
34.65370585239781,same
36.71316589973794,same
46.85852532155736,same
25.65831843918018,same
34.37887266476104,same
