value,cued,prepost
55.00742516025118,cued,pre
53.169556877300096,cued,pre
45.73927727550341,cued,pre
44.21289319138657,cued,pre
60.89498222480305,cued,pre
48.43296718443594,cued,pre
49.88636297343197,cued,pre
46.77848160059953,cued,pre
52.07779150197471,cued,pre
37.45052302124579,cued,pre
48.34388892142763,cued,pre
52.524185353008676,cued,pre
44.41732847379129,cued,pre
45.341512859979844,cued,pre
54.79461409947583,cued,pre
43.889416202161236,cued,pre
52.48245897138179,cued,pre
39.86642015819988,cued,pre
54.46386365555852,cued,pre
49.770872527121725,cued,pre
66.34791925804586,cued,pre
49.44124364339604,cued,pre
47.125241140946706,cued,pre
54.830581662685766,cued,pre
61.31986703919525,cued,pre
50.229196684542934,cued,pre
50.655055518457026,cued,pre
73.53051668472536,cued,pre
46.98270880529751,cued,pre
47.40329187128621,cued,pre
52.20760299472215,cued,pre
67.38950627160752,cued,pre
64.67943698449845,cued,pre
56.15216869391269,cued,pre
44.83898694951432,cued,pre
50.09482333710236,cued,pre
45.35657454559712,cued,pre
49.10732466558259,cued,pre
43.49323117017585,cued,pre
57.925406723245395,cued,pre
49.78805151612554,cued,pre
56.782724884848925,cued,pre
54.32417162256672,cued,pre
57.664312989402134,cued,pre
68.22190098135997,cued,pre
53.53655583577472,cued,pre
44.72844098840736,cued,pre
49.57698397218457,cued,pre
51.808818983479746,cued,pre
50.09478725809927,cued,pre
43.172929485225495,cued,pre
58.4208829449058,cued,pre
47.43298322866064,cued,pre
51.7366347421647,cued,pre
43.22384265458539,cued,pre
52.142718570377184,cued,pre
67.19529531419563,cued,pre
42.63860564887158,cued,pre
54.473351705192734,cued,pre
45.497154001742246,cued,pre
68.77207478528533,cued,pre
62.77343774661842,cued,pre
67.42674134010367,cued,pre
47.97171984138375,cued,pre
52.256071983119824,cued,pre
50.26358561846684,cued,pre
51.8979195523211,cued,pre
54.955383629473715,cued,pre
47.40991796067675,cued,pre
39.947433459176594,cued,pre
53.39018025724963,cued,pre
51.06126296787101,cued,pre
51.331473546934085,cued,pre
46.74231013140348,cued,pre
48.907996908880996,cued,pre
38.940765800924616,cued,pre
51.54102495575486,cued,pre
60.26683165112516,cued,pre
63.213159250569824,cued,pre
45.00693990553818,cued,pre
47.558224424203786,cued,pre
52.99399300437883,cued,pre
51.002825627125645,cued,pre
51.036378905420634,cued,pre
69.15101103030956,cued,pre
36.07270082313009,cued,pre
55.440911496851214,cued,pre
59.48525300838909,cued,pre
42.70394912144429,cued,pre
56.323351910701824,cued,pre
55.09804135234782,cued,pre
66.61397555426852,cued,pre
40.85052224877935,cued,pre
53.37917490266721,cued,pre
34.54029692156906,cued,pre
61.588529504045916,cued,pre
46.85985094231318,cued,pre
43.322266053748216,cued,pre
47.04935934729344,cued,pre
53.176541927965566,cued,pre
48.49217969121571,cued,pre
56.33985867727089,cued,pre
54.531973743463,cued,pre
37.47461608180634,cued,pre
54.86120246572221,cued,pre
48.18774474059085,cued,pre
39.34731436905165,cued,pre
63.242767041188365,cued,pre
67.72345687689274,cued,pre
50.8143862756647,cued,pre
49.81876175464807,cued,pre
43.529207883428946,cued,pre
56.656721496025504,cued,pre
54.31829885411372,cued,pre
52.86483593518856,cued,pre
51.914560003990495,cued,pre
60.67109067338682,cued,pre
75.05508979173767,cued,pre
56.358548359227335,cued,pre
54.34754041434317,cued,pre
45.28736499896315,cued,pre
47.45569418881109,cued,pre
54.20538460449302,cued,pre
67.61661551358665,cued,pre
47.279077040296364,cued,pre
50.436112565555824,cued,pre
53.32073782422261,cued,pre
54.16768425393956,cued,pre
58.66996526114479,cued,pre
42.580421957633654,cued,pre
58.572944032235846,cued,pre
49.97150293760401,cued,pre
44.2477947577971,cued,pre
46.4887301179559,cued,pre
45.90352653022516,cued,pre
43.57866169322853,cued,pre
50.890273960357824,cued,pre
49.36117522359361,cued,pre
41.12600197842996,cued,pre
50.264062757938426,cued,pre
42.041049340605035,cued,pre
47.91251638915489,cued,pre
41.23348545330004,cued,pre
45.401708083675715,cued,pre
45.57873303237735,cued,pre
55.124284277740095,cued,pre
51.34803367548869,cued,pre
41.150674020240345,cued,pre
51.18331749933395,cued,pre
53.00635193482893,cued,pre
49.22086003969813,cued,pre
46.170161734560104,cued,pre
44.774293841030875,cued,pre
54.3937710644524,cued,pre
48.940069854896784,cued,pre
55.24158229116592,cued,pre
43.71978123792607,cued,pre
44.166669599264594,cued,pre
46.680873335252976,cued,pre
50.462790648654085,cued,pre
54.51300411035013,cued,pre
54.887940133276125,cued,pre
44.83704478614806,cued,pre
47.776346738218656,cued,pre
47.377460932626256,cued,pre
36.524639457916805,cued,pre
43.540898197997315,cued,pre
52.60645857625334,cued,pre
40.98767222715802,cued,pre
50.34739299987717,cued,pre
51.00097384688063,cued,pre
44.236726743176455,cued,pre
51.897704160256126,cued,pre
47.496556862900455,cued,pre
209.9449908248057,cued,post
256.02081994206804,cued,post
300.05612600144076,cued,post
282.274928023873,cued,post
317.3632295933635,cued,post
266.4438802683896,cued,post
272.953965861445,cued,post
310.2096595529736,cued,post
259.2282258114246,cued,post
301.7163939751976,cued,post
330.23901744378855,cued,post
293.1042918320198,cued,post
353.43879922779473,cued,post
277.47097471257484,cued,post
332.20165246751674,cued,post
303.7232219176669,cued,post
291.4512798702785,cued,post
303.57221764806474,cued,post
268.6609454001881,cued,post
298.36726457120403,cued,post
374.7127279603544,cued,post
315.2552818446255,cued,post
306.57229875792177,cued,post
300.52522105012525,cued,post
322.5247106503308,cued,post
383.3462442688257,cued,post
362.1841746258724,cued,post
373.6869398059375,cued,post
299.03410836421966,cued,post
305.5550376599336,cued,post
341.60592493001445,cued,post
375.65735546713785,cued,post
394.64429544078735,cued,post
