max_avg_over_ch_crosscor,pre/post_cue,cued/uncued_tag
31.996370073453104,postcue,uncued
37.33505076559547,postcue,uncued
47.48000471119749,postcue,uncued
31.997341062186873,postcue,uncued
35.10882469490876,postcue,uncued
31.81347850350306,postcue,uncued
35.96257162582604,postcue,uncued
34.4843570525156,postcue,uncued
42.95758458451732,postcue,uncued
30.32037877139909,postcue,uncued
31.035576501755532,postcue,uncued
31.402820358992226,postcue,uncued
47.015176230490304,postcue,uncued
40.79214177530365,postcue,uncued
43.081963696918386,postcue,uncued
45.35976859861083,postcue,uncued
30.08364993961291,postcue,uncued
41.43428261226466,postcue,uncued
40.23615330177094,postcue,uncued
43.35739147989605,postcue,uncued
31.5925331824388,postcue,uncued
40.42064416608512,postcue,uncued
44.05793738473642,postcue,uncued
31.656891190633853,postcue,uncued
31.17580460922775,postcue,uncued
41.67573310625517,postcue,uncued
48.46884740631693,postcue,uncued
34.92971473104714,postcue,uncued
42.46750054196919,postcue,uncued
41.764904481863375,postcue,uncued
31.89217296731896,postcue,uncued
33.44343562328128,postcue,uncued
34.527388807920865,postcue,uncued
36.596661233751426,postcue,uncued
38.49215863764609,postcue,uncued
43.72497001887422,postcue,uncued
32.22530325910746,postcue,uncued
32.94489432543331,postcue,uncued
39.389058399906745,postcue,uncued
38.254540045317796,postcue,uncued
31.778230613765643,postcue,uncued
37.71827288147026,postcue,uncued
36.85922109995908,postcue,uncued
37.74416395293488,postcue,uncued
45.51062553494207,postcue,uncued
31.346391399475507,postcue,uncued
33.560986976593725,postcue,uncued
40.179301281016926,postcue,uncued
30.23068633046098,postcue,uncued
34.09175360901006,postcue,uncued
36.87469274201074,postcue,uncued
44.00892885524886,postcue,uncued
34.04645874242213,postcue,uncued
45.02615660343228,postcue,uncued
39.31429414689699,postcue,uncued
40.012267010528724,postcue,uncued
45.31997617106046,postcue,uncued
38.4919154107991,postcue,uncued
37.912398167980776,postcue,uncued
35.59495194316992,postcue,uncued
41.803347683927164,postcue,uncued
36.636917965758364,postcue,uncued
36.93096172337156,postcue,uncued
38.3337274480082,postcue,uncued
43.12149625072691,postcue,uncued
51.77247799629178,postcue,uncued
38.78973241767287,postcue,uncued
38.971264381244055,precue,cued
28.836655902028976,precue,cued
41.39783256317854,precue,cued
48.38212998996868,precue,cued
30.96442083270441,precue,cued
29.831375229087627,precue,cued
31.525509407827528,precue,cued
33.450814342405174,precue,cued
46.643879749580385,precue,cued
33.096006163724745,precue,cued
39.25810010393826,precue,cued
36.58555962403613,precue,cued
47.74298273329305,precue,cued
33.06599986845492,precue,cued
31.087507469665812,precue,cued
33.073554436880976,precue,cued
40.89476207671046,precue,cued
38.57309524488298,precue,cued
44.56086033908998,precue,cued
31.254241417344755,precue,cued
37.08664783078342,precue,cued
55.662429485761265,precue,cued
32.068726004877576,precue,cued
38.12005169113353,precue,cued
42.1999548524518,precue,cued
44.14404944458435,precue,cued
39.121996930267066,precue,cued
41.96934915777465,precue,cued
41.308954795902736,precue,cued
50.58179973212819,precue,cued
38.18481532684748,precue,cued
31.996352641270608,precue,cued
37.15897497543846,precue,cued
41.446882525295884,precue,cued
29.193044239678468,precue,cued
40.49703957832216,precue,cued
39.231557052373525,precue,cued
38.678695662059816,precue,cued
27.246336110636886,precue,cued
43.96809533680028,precue,cued
39.33422856019328,precue,cued
32.29909327631513,precue,cued
30.82630238103401,precue,cued
37.64583012836192,precue,cued
31.7894441082681,precue,cued
38.13914193038952,precue,cued
32.99627763518703,precue,cued
39.559945355496644,precue,cued
33.19354904114718,precue,cued
40.6126193257023,precue,cued
35.057788535388816,precue,cued
41.7661146020096,precue,cued
37.41440620935966,precue,cued
32.320982531556474,precue,cued
38.72826184238052,precue,cued
32.330933785385604,precue,cued
36.66125855237582,precue,cued
29.058203339906182,precue,cued
32.379308665644224,precue,cued
38.14256919922632,precue,cued
55.78969921437559,precue,cued
34.49695536794423,precue,cued
29.091960969928763,precue,cued
36.31645074517858,precue,cued
39.64886978208328,precue,cued
38.82379313277175,precue,cued
34.26842600618006,precue,cued
44.95811586636024,precue,cued
41.719632415568675,precue,cued
40.48025376814062,precue,cued
42.10353979956985,precue,cued
34.07534948979184,precue,cued
32.03359462834101,precue,cued
34.600934222232425,precue,cued
41.73744982755271,precue,cued
50.02458291047646,precue,cued
36.205779297901636,precue,cued
42.84585468310047,precue,cued
40.47880393148786,precue,cued
45.04539188096859,precue,cued
38.37613191832105,precue,cued
33.06843404835586,precue,cued
45.34427178332911,precue,cued
44.76483646734672,precue,cued
40.62686015126344,precue,cued
35.397912451988724,precue,cued
38.71245236711513,precue,cued
43.37845769827862,precue,cued
43.66115437653621,precue,cued
37.291358249049274,precue,cued
42.74749754740986,precue,cued
43.75371294857069,precue,cued
36.53511056178487,precue,cued
39.524111028593616,precue,cued
34.21012949589787,precue,cued
36.15645819124723,precue,cued
27.937015629795127,precue,cued
35.72650812368029,precue,cued
33.254183504754884,precue,cued
42.660533220686375,precue,cued
44.36122959355857,precue,cued
38.19604525151679,precue,cued
29.688158899368116,precue,cued
32.03313646835509,precue,cued
33.30974631052467,precue,cued
32.881161751980464,precue,cued
41.55666865380713,precue,cued
37.88808063939036,precue,cued
33.72538580046412,precue,cued
31.33659928487815,precue,cued
34.652633697224765,precue,cued
35.80078019207313,precue,cued
36.813622966308614,precue,cued
39.992355865136844,precue,cued
30.177043293690527,precue,cued
43.95810177479782,precue,cued
40.08249603790653,precue,cued
39.58358741328915,precue,cued
38.82597191888936,precue,cued
49.268483647218666,precue,cued
38.0720891526943,precue,cued
32.932297763643476,precue,cued
40.44195626427568,precue,cued
41.76136016906242,precue,cued
38.700654993670106,precue,cued
39.86044066396074,precue,cued
51.438946230840514,precue,cued
32.44774112212799,precue,cued
43.00139989121512,precue,cued
36.62106300901545,precue,cued
37.44047547480924,precue,cued
35.524682091253005,precue,cued
33.84172092609386,precue,cued
43.81327974712417,precue,cued
40.84048165084771,precue,cued
38.1068629919389,precue,cued
33.25217931344903,precue,cued
38.55608632378728,precue,cued
40.93043951717319,precue,cued
30.579418563296716,precue,cued
38.27992663360923,precue,cued
31.939168635903513,precue,cued
43.23160489335478,precue,cued
35.07721171199185,precue,cued
35.14413986764779,precue,cued
32.52268977445136,precue,cued
34.45830674692123,precue,cued
38.14336675209024,precue,cued
36.71395194779296,precue,cued
28.2975558272566,precue,cued
42.09933205400491,precue,cued
35.53090702464457,precue,cued
31.129232656357647,precue,cued
34.66712575168537,precue,cued
36.424919607418836,precue,cued
44.65515712064765,precue,cued
37.648646645098886,precue,cued
34.42912063453177,precue,cued
39.58675765775394,precue,cued
48.07388278243266,precue,cued
41.670588526509725,precue,cued
43.9433985995079,precue,cued
34.068536855756726,precue,cued
36.823737298938056,precue,cued
39.76261026488848,precue,cued
51.642287203980054,precue,cued
40.66061703415759,precue,cued
44.72002940722061,precue,cued
43.85314827856129,precue,cued
41.50723854905423,precue,cued
50.372873224111174,precue,cued
29.70540089029946,precue,cued
49.65510897824941,precue,cued
51.15678203431258,precue,cued
36.28760891944412,precue,cued
37.90633756076858,precue,uncued
33.91586662755583,precue,uncued
31.9820259102415,precue,uncued
32.68586341963862,precue,uncued
29.27021802504677,precue,uncued
