electrode,variable,value,frequency
O2,0,,1.0
PO4,0,,1.0
PO8,0,,1.0
P8,0,,1.0
P4,0,,1.0
P6,0,,1.0
P2,0,,1.0
P1,0,,1.0
P3,0,,1.0
P5,0,,1.0
P7,0,,1.0
PO7,0,,1.0
PO3,0,,1.0
O1,0,,1.0
Pz,0,,1.0
POz,0,,1.0
Oz,0,,1.0
Iz,0,,1.0
O2,1,0.2985937262503487,2.0
PO4,1,0.17961214994588223,2.0
PO8,1,0.5884250217226283,2.0
P8,1,0.028370818625431487,2.0
P4,1,0.31093109687204457,2.0
P6,1,0.11875281441120478,2.0
P2,1,0.06548137281750485,2.0
P1,1,0.3632604949615049,2.0
P3,1,0.069260817284948,2.0
P5,1,0.1247991508427375,2.0
P7,1,0.00930981197640154,2.0
PO7,1,0.03207233147659136,2.0
PO3,1,0.025046096340308036,2.0
O1,1,0.09746382121495852,2.0
Pz,1,0.45440497519076856,2.0
POz,1,0.19698615188654656,2.0
Oz,1,0.3060772365126667,2.0
Iz,1,0.25583131256257874,2.0
O2,2,0.5374868300919607,3.0
PO4,2,0.37301964283490685,3.0
PO8,2,1.1331474512399173,3.0
P8,2,1.484451080283195,3.0
P4,2,0.789105401197005,3.0
P6,2,1.4122675152155697,3.0
P2,2,1.9532529109974976,3.0
P1,2,2.1148417987956076,3.0
P3,2,1.85853918569177,3.0
P5,2,0.9007450461338993,3.0
P7,2,0.6798161911261794,3.0
PO7,2,0.27702774860285817,3.0
PO3,2,1.025541578862337,3.0
O1,2,0.9453148298019539,3.0
Pz,2,0.45494506411439306,3.0
POz,2,0.8267043179203243,3.0
Oz,2,0.6194273781128867,3.0
Iz,2,0.9594810285807952,3.0
O2,3,4.112433834684352,4.0
PO4,3,5.209921356983027,4.0
PO8,3,1.2540223619345938,4.0
P8,3,2.249481432057556,4.0
P4,3,1.0539915147483427,4.0
P6,3,1.9590155364494175,4.0
P2,3,1.1723058883757076,4.0
P1,3,0.7067319414875066,4.0
P3,3,1.7726641334843731,4.0
P5,3,3.4726428481360427,4.0
P7,3,5.05893003324479,4.0
PO7,3,8.57039495933206,4.0
PO3,3,3.0699864555550738,4.0
O1,3,2.4887556903746364,4.0
Pz,3,0.42021089551023866,4.0
POz,3,2.3606400264448695,4.0
Oz,3,2.8245298414644866,4.0
Iz,3,2.7135781231596994,4.0
O2,4,0.40079074265209913,5.0
PO4,4,0.3371946861174076,5.0
PO8,4,0.29707288471864557,5.0
P8,4,0.22832084476752748,5.0
P4,4,0.5375515535736903,5.0
P6,4,0.3559936909159561,5.0
P2,4,0.3909413202962229,5.0
P1,4,0.5306383455727419,5.0
P3,4,0.1386047695016202,5.0
P5,4,0.1022991218832579,5.0
P7,4,0.0847524096254022,5.0
PO7,4,0.1354136965240292,5.0
PO3,4,0.2579174917444717,5.0
O1,4,0.3579102225732662,5.0
Pz,4,0.8339355562651286,5.0
POz,4,0.756737850073183,5.0
Oz,4,0.679451355335399,5.0
Iz,4,0.4382834418368635,5.0
O2,5,0.11686736298645216,6.0
PO4,5,0.11598520825294578,6.0
PO8,5,0.0819241747747916,6.0
P8,5,0.18709449364646155,6.0
P4,5,2.2265801374079706,6.0
P6,5,0.8920653589458886,6.0
P2,5,1.019877511387661,6.0
P1,5,1.1066471666368012,6.0
P3,5,2.1298614168029197,6.0
P5,5,5.1648380222685,6.0
P7,5,4.830723877899381,6.0
PO7,5,2.471816931668045,6.0
PO3,5,0.4346915866242243,6.0
O1,5,0.07175764530286105,6.0
Pz,5,1.6635933763646653,6.0
POz,5,0.25651310206900896,6.0
Oz,5,0.21878628788077492,6.0
Iz,5,0.13280545692890974,6.0
O2,6,0.6200521981157736,7.0
PO4,6,0.5044476416983191,7.0
PO8,6,3.2044166446393287,7.0
P8,6,1.6839691436969273,7.0
P4,6,0.42998865396231456,7.0
P6,6,0.33812753319524264,7.0
P2,6,0.6277458477688551,7.0
P1,6,0.2921994131287492,7.0
P3,6,0.22469962631362578,7.0
P5,6,0.14539528769162302,7.0
P7,6,0.38970003438368034,7.0
PO7,6,0.7253828618675746,7.0
PO3,6,0.4508391744569497,7.0
O1,6,0.22909560737725232,7.0
Pz,6,0.6311579180979962,7.0
POz,6,0.4899752122896857,7.0
Oz,6,0.744241181829151,7.0
Iz,6,0.6144820964174975,7.0
O2,7,5.335602596085849,8.0
PO4,7,4.894364243347158,8.0
PO8,7,1.0918605002712727,8.0
P8,7,2.117695895147718,8.0
P4,7,1.6545288219610164,8.0
P6,7,6.622740826808338,8.0
P2,7,1.596799157247126,8.0
P1,7,1.8547327379965397,8.0
P3,7,5.380609568517515,8.0
P5,7,0.9384149631920429,8.0
P7,7,0.07256223875031881,8.0
PO7,7,0.4099368608990668,8.0
PO3,7,2.9902292589850585,8.0
O1,7,4.89243071704306,8.0
Pz,7,1.4056643369568487,8.0
POz,7,4.241991335647715,8.0
Oz,7,2.0582298241020283,8.0
Iz,7,4.40116352872529,8.0
O2,8,0.036903322854575545,9.0
PO4,8,0.07457013904036719,9.0
PO8,8,0.12169913379748071,9.0
P8,8,0.009063236471876982,9.0
P4,8,0.8764176002644094,9.0
P6,8,0.13912278359308258,9.0
P2,8,1.1673421193588367,9.0
P1,8,0.7877067497824283,9.0
P3,8,0.18489954698363198,9.0
P5,8,0.5790597886574982,9.0
P7,8,1.6673505978895597,9.0
PO7,8,2.5766373135689657,9.0
PO3,8,0.17030166793432952,9.0
O1,8,0.21991374007043762,9.0
Pz,8,0.7385878612142238,9.0
POz,8,0.1723534672309483,9.0
Oz,8,0.061511173975779876,9.0
Iz,8,0.03061157385497251,9.0
O2,9,21.351591188547637,10.0
PO4,9,25.691055507926247,10.0
PO8,9,5.576657293371719,10.0
P8,9,18.406472718866695,10.0
P4,9,0.38800881899400647,10.0
P6,9,2.93357372252869,10.0
P2,9,0.9618629640845162,10.0
P1,9,2.8287673347470186,10.0
P3,9,11.65060385480952,10.0
P5,9,4.31802899830513,10.0
P7,9,1.8650816543890814,10.0
PO7,9,0.8341838247312459,10.0
PO3,9,5.573033265219718,10.0
O1,9,3.492500369506243,10.0
Pz,9,2.0835781769562107,10.0
POz,9,0.6849872284213381,10.0
Oz,9,1.854147748933938,10.0
Iz,9,3.139013771565688,10.0
O2,10,0.11336028572640701,11.0
PO4,10,0.043695989688538064,11.0
PO8,10,0.24785485435788285,11.0
P8,10,0.1047158494263244,11.0
P4,10,1.3819803134631268,11.0
P6,10,0.18572392843822472,11.0
P2,10,0.1299526043256843,11.0
P1,10,0.004622266389737651,11.0
P3,10,0.001623379389908545,11.0
P5,10,0.17104874276667767,11.0
P7,10,0.3916856485526256,11.0
PO7,10,0.24763450250570593,11.0
PO3,10,0.4485416671516775,11.0
O1,10,0.773727601729009,11.0
Pz,10,0.5087041880026782,11.0
POz,10,1.2714520679137808,11.0
Oz,10,0.9256132139099642,11.0
Iz,10,0.9800587506520447,11.0
O2,11,0.3043176449330242,12.0
PO4,11,2.103386684019337,12.0
PO8,11,0.7000091411207093,12.0
P8,11,5.5822246727470395,12.0
P4,11,1.6419122635892165,12.0
P6,11,2.5490275122933097,12.0
P2,11,4.709824503177959,12.0
P1,11,20.587195183242997,12.0
P3,11,4.628535653021652,12.0
P5,11,0.5807805366728593,12.0
P7,11,0.1073375346519871,12.0
PO7,11,0.6781754945194385,12.0
PO3,11,0.022498492062342036,12.0
O1,11,0.05403785385906143,12.0
Pz,11,1.0081685251920085,12.0
POz,11,0.8248377687697059,12.0
Oz,11,0.9688507702915237,12.0
Iz,11,0.283238581889702,12.0
O2,12,1.6614098369327182,13.0
PO4,12,0.5284226258013682,13.0
PO8,12,0.8393667279669609,13.0
P8,12,0.22706760789677766,13.0
P4,12,0.6208922269209586,13.0
P6,12,0.44198342021446596,13.0
P2,12,0.5872277151420059,13.0
P1,12,0.14609706116104063,13.0
P3,12,0.558372792309025,13.0
P5,12,1.2248690187024605,13.0
P7,12,1.7908929682371888,13.0
PO7,12,2.438293824932862,13.0
PO3,12,1.0227438627316274,13.0
O1,12,0.9367569156388215,13.0
Pz,12,0.7662152965892187,13.0
POz,12,1.79558297874476,13.0
Oz,12,1.4326098923635262,13.0
Iz,12,1.1816307451104846,13.0
O2,13,1.2192764433630685,14.0
PO4,13,1.7275996940784362,14.0
PO8,13,1.9074641208368206,14.0
P8,13,1.1708187062949467,14.0
P4,13,0.3811303933633486,14.0
P6,13,3.0672682776667206,14.0
P2,13,0.27008091707146015,14.0
P1,13,1.090372351914892,14.0
P3,13,1.0420978004852477,14.0
P5,13,1.3271858371756002,14.0
P7,13,0.7991343966388829,14.0
PO7,13,0.4001805283258702,14.0
PO3,13,1.0531835099499696,14.0
O1,13,1.361002490394001,14.0
Pz,13,0.7301605930308203,14.0
POz,13,0.8382957158797522,14.0
Oz,13,0.8408716587426867,14.0
Iz,13,1.070254634067827,14.0
O2,14,1.187733585718201,15.0
PO4,14,1.165430116122285,15.0
PO8,14,0.5447539203390145,15.0
P8,14,1.2239875058808698,15.0
P4,14,1.8609398153132684,15.0
P6,14,0.4783470495364608,15.0
P2,14,1.6609950469622037,15.0
P1,14,1.018000750556791,15.0
P3,14,0.9880912550379375,15.0
P5,14,0.8242817927456279,15.0
