electrode,value,freq,cued
Iz,0.027883279930921965,56,56
PO3,0.01742255269656886,56,56
POz,0.01162134304880439,56,56
P3,0.00794795824308834,56,56
P7,0.0023379652149143155,56,56
P5,0.004810586377962631,56,56
Iz,0.010340961071490332,60,56
PO3,0.007198604478543902,60,56
POz,0.006326110546231706,60,56
P3,0.0033713133268775874,60,56
P7,0.002269505996555116,60,56
P5,0.0029657670589711992,60,56
Iz,0.032397933004386155,56,60
PO3,0.020566169210696247,56,60
POz,0.014352698536239961,56,60
P3,0.00836155332734395,56,60
P7,0.0035782403790062386,56,60
P5,0.00656846542047484,56,60
Iz,0.014012671068273924,60,60
PO3,0.007125586646463184,60,60
POz,0.005283314335947334,60,60
P3,0.004722980760724707,60,60
P7,0.0028084218381440006,60,60
P5,0.0029031375441920795,60,60
