max_avg_over_ch_crosscor,pre/post_cue,cued/uncued_tag
81.77193402575601,postcue,cued
52.6737747848075,postcue,cued
54.37779524890612,postcue,cued
58.25273686768542,postcue,cued
54.81825688571755,postcue,cued
47.83013369520298,postcue,cued
56.10329912328259,postcue,cued
50.164451836539,postcue,cued
44.73776720340967,postcue,cued
46.212612554079556,postcue,cued
36.214865459987145,postcue,cued
39.87026598016491,postcue,cued
42.184534836264234,postcue,cued
43.50254593217621,postcue,cued
41.00924846617841,postcue,cued
45.70760636449004,postcue,cued
46.02003598710929,postcue,cued
46.92831714164527,postcue,cued
46.78228552720521,postcue,cued
37.3612223855281,postcue,cued
43.411557790052036,postcue,cued
42.66086540263347,postcue,cued
40.051659106900374,postcue,cued
37.17328250972052,postcue,cued
42.63699268977649,postcue,cued
42.27664700267855,postcue,cued
50.426328879526274,postcue,cued
41.33294529136247,postcue,cued
42.475327885777375,postcue,cued
49.91213858234523,postcue,cued
35.180130728419435,postcue,cued
43.850904970826626,postcue,cued
42.700793056428104,postcue,cued
51.39679930258675,postcue,cued
42.781306742415246,postcue,cued
35.01722406621695,postcue,cued
45.24765793244358,postcue,cued
40.763905127304106,postcue,cued
37.89326139395016,postcue,cued
39.225349320036784,postcue,cued
52.40552562838429,postcue,cued
42.531068896047934,postcue,cued
41.649411854927514,postcue,cued
41.87417374611345,postcue,cued
53.93390063444883,postcue,cued
44.93651203804362,postcue,cued
54.536483452905365,postcue,cued
49.15077856986861,postcue,cued
42.359807321595575,postcue,cued
47.959000221062105,postcue,cued
51.90801583583548,postcue,cued
52.99131649565297,postcue,cued
53.26727664399607,postcue,cued
55.15669330131714,postcue,cued
49.85664491292818,postcue,cued
41.12275141923491,postcue,cued
51.89395158714634,postcue,cued
44.000611123285275,postcue,cued
44.657651252840935,postcue,cued
50.06087733310409,postcue,cued
60.37832956646293,postcue,cued
48.689927454881406,postcue,cued
39.80206730036157,postcue,cued
44.19611768688364,postcue,cued
48.45026723060721,postcue,cued
56.48439617704994,postcue,cued
40.31285942078679,postcue,cued
44.753424820384055,postcue,cued
53.88524685300269,postcue,cued
47.034104592203214,postcue,cued
38.34015088693789,postcue,cued
42.95432358396936,postcue,cued
44.57642817611214,postcue,cued
47.12629650736434,postcue,cued
41.36405830142002,postcue,cued
37.28079547357477,postcue,cued
43.735301525838366,postcue,cued
54.19637706738885,postcue,cued
44.73038767831063,postcue,cued
42.53608904743742,postcue,cued
55.12956787309463,postcue,cued
41.885625382663626,postcue,cued
51.55160508321298,postcue,cued
41.516910128487616,postcue,cued
65.3237334352843,postcue,cued
51.04806439523128,postcue,cued
47.3462083644694,postcue,cued
56.80006313049017,postcue,cued
47.089701791084444,postcue,cued
44.147822750861415,postcue,cued
57.562742976860015,postcue,cued
41.111937895380834,postcue,cued
50.63000507083627,postcue,cued
53.109066110228646,postcue,cued
49.22006484084884,postcue,cued
46.9738614091299,postcue,cued
55.825299089234896,postcue,cued
