value,cued,prepost
3.078853450843697,cued,pre
3.4052865705783,cued,pre
2.7288595427672,cued,pre
2.466079851624125,cued,pre
2.830149829037201,cued,pre
2.914499101491808,cued,pre
2.9237516289528385,cued,post
3.1520406289592415,cued,post
3.1957264750386414,cued,post
3.464463602859779,cued,post
2.543677602168275,cued,post
3.263299072852295,cued,post
3.446240196752621,uncued,pre
2.512907836552234,uncued,pre
2.7096785875292833,uncued,pre
2.8902456107597816,uncued,pre
2.9426256429429345,uncued,pre
2.515024194717397,uncued,pre
3.0495671400691315,uncued,post
3.2471439342453734,uncued,post
3.470353695235088,uncued,post
2.727998892910316,uncued,post
3.1274389104487477,uncued,post
2.9148232983235474,uncued,post
