electrode,variable,value,frequency
O2,10,0.5728677197377089,5.652653927813164
PO4,10,0.46159874995671907,5.652653927813164
PO8,10,0.4668439096832469,5.652653927813164
P8,10,0.4918677333404242,5.652653927813164
P4,10,0.0712559356246946,5.652653927813164
P6,10,0.2583885480587351,5.652653927813164
P2,10,0.6370084895711609,5.652653927813164
P1,10,0.7263906129983839,5.652653927813164
P3,10,1.5039088586983325,5.652653927813164
P5,10,0.970043095133218,5.652653927813164
P7,10,0.9416365234742436,5.652653927813164
PO7,10,0.9917211925891296,5.652653927813164
PO3,10,1.416964149927448,5.652653927813164
O1,10,1.4082768444245413,5.652653927813164
Pz,10,0.5129500706795859,5.652653927813164
POz,10,0.6226533242309856,5.652653927813164
Oz,10,0.8403193236414166,5.652653927813164
Iz,10,1.7896801481873588,5.652653927813164
O2,11,1.5838664878116269,6.087473460721869
PO4,11,0.6709851165111571,6.087473460721869
PO8,11,1.0201601789283732,6.087473460721869
P8,11,0.9014635247500355,6.087473460721869
P4,11,0.45759690950701865,6.087473460721869
P6,11,0.7609694024422636,6.087473460721869
P2,11,0.6085022631377346,6.087473460721869
P1,11,0.5571156613836721,6.087473460721869
P3,11,2.1573578669588467,6.087473460721869
P5,11,1.9099972899505693,6.087473460721869
P7,11,1.743738497174108,6.087473460721869
PO7,11,1.6835688881807644,6.087473460721869
PO3,11,1.8261102683927697,6.087473460721869
O1,11,1.357514841722019,6.087473460721869
Pz,11,0.5823219276481297,6.087473460721869
POz,11,0.5116245798588761,6.087473460721869
Oz,11,0.4379152518556304,6.087473460721869
Iz,11,2.8438978159226194,6.087473460721869
O2,12,1.8234579353299103,6.522292993630574
PO4,12,0.3074874477309789,6.522292993630574
PO8,12,0.4726058261141543,6.522292993630574
P8,12,0.243912181792263,6.522292993630574
P4,12,0.14124189502801823,6.522292993630574
P6,12,0.14305435631028646,6.522292993630574
P2,12,0.4779711914064773,6.522292993630574
P1,12,0.19506071735265484,6.522292993630574
P3,12,1.529599090650077,6.522292993630574
P5,12,1.0409145733740381,6.522292993630574
P7,12,0.6451393576858535,6.522292993630574
PO7,12,0.9352254953368229,6.522292993630574
