value,trial_type,cued
3.375228807103878,same,cued
2.8455692909932537,same,cued
2.5717911770539534,same,cued
3.1945487852786596,same,cued
2.869805680044202,same,cued
2.7653059810153646,same,cued
3.786660655167582,same,uncued
2.6985424299642014,same,uncued
3.6641385436734915,same,uncued
4.072054097128214,same,uncued
2.9780843072046475,same,uncued
2.892353366983318,same,uncued
2.858267837083479,other,cued
2.8858679629178914,other,cued
2.839964611149267,other,cued
3.776407627535085,other,cued
3.117339011429195,other,cued
2.7044402182655283,other,cued
2.9412189947940375,other,uncued
3.2240672380262865,other,uncued
3.136748850626263,other,uncued
3.0233610478995225,other,uncued
2.9373138083880077,other,uncued
3.175387522485468,other,uncued
