value,prepost
44.20519126578389,same_cued
47.6042877619392,same_cued
32.787744280194886,same_cued
46.655250917293664,same_cued
54.96347569728152,same_cued
41.2065128858168,same_cued
38.78852168998757,same_cued
51.67012608407243,same_cued
38.42210672148325,same_cued
39.5479284430699,same_cued
40.31713280517876,same_cued
37.388653990152086,same_cued
59.37420464624458,same_cued
42.89743060490114,same_cued
50.06148684608288,same_cued
60.913710152809955,same_cued
68.43688386608942,same_cued
47.56162990293283,same_cued
49.38490192210009,same_cued
71.97816841060288,same_cued
46.057625935441386,same_cued
30.08288519884039,same_cued
48.723464140727394,same_cued
42.60796685292658,same_cued
44.93351830798262,same_cued
64.22041773073335,same_cued
49.95253789708241,same_cued
51.319167907103086,same_cued
52.14819935806789,same_cued
52.56615015331959,same_cued
49.93059095276967,same_cued
40.42579109714797,same_cued
52.17219579010737,same_cued
32.54901520488105,same_cued
67.42142651982519,same_cued
51.78498414276106,same_cued
63.50370028507413,same_cued
44.449484252985904,same_cued
38.356866050573835,same_cued
40.68073490765167,same_cued
48.17057761952818,same_cued
28.759390440048083,same_cued
39.02685462440439,same_cued
50.798874736478076,same_cued
39.62858506334217,same_cued
41.2174641682066,same_cued
45.462187335490334,same_cued
41.56291600766419,same_cued
32.2930519871546,same_cued
43.84090617340143,same_cued
43.58876970852714,same_cued
44.97919637624006,same_cued
41.50882723553407,same_cued
43.22471371323045,same_cued
64.11208135609697,same_cued
42.66117453959898,same_cued
57.28809674137267,same_cued
46.53477483726982,same_cued
36.77818716033683,same_cued
57.32070915777614,same_cued
53.04938664145188,same_cued
46.037242795815274,same_cued
60.22535447691117,same_cued
43.33789303910731,same_cued
55.56784744587515,same_cued
39.69117170450595,same_cued
54.00970233749596,same_cued
52.66942162472898,same_cued
34.7778869876822,same_cued
45.938791742150634,same_cued
52.55430532387093,same_cued
41.27190201136443,same_cued
53.651720352937936,same_cued
61.11461685578282,same_cued
53.22372743376605,same_cued
31.328875989474028,same_cued
51.99538080363006,same_cued
46.29245650323512,same_cued
51.87809363217311,same_cued
65.39462717551608,same_cued
56.997104260374876,same_cued
51.13117586169878,same_cued
52.0130070716529,same_cued
41.312191848865666,same_cued
36.037936090344665,same_cued
51.94012398219655,same_cued
54.988494878666245,same_cued
48.276975749170425,same_cued
35.87632831017469,same_cued
64.25793355833389,same_cued
58.721054445309555,same_cued
41.86623242757948,same_cued
51.09854352384243,same_cued
46.23649001515347,same_cued
48.20157047864408,same_cued
46.90663837411956,same_cued
37.62395473315738,same_cued
48.70411973103552,same_cued
46.64473106860225,same_cued
52.67168131374731,same_cued
44.274748849739495,same_cued
56.64136962320469,same_cued
49.24705476494489,same_cued
62.43204000430015,same_cued
55.4529033138221,same_cued
46.652836170090694,same_cued
35.44592740119699,same_cued
58.30679817458678,same_cued
43.88824897433565,same_cued
44.365497488498924,same_cued
39.30576858803844,same_cued
42.77042167869922,same_cued
48.85655494375944,same_cued
50.84822454315264,same_cued
79.71096537719268,same_cued
32.8331897735461,same_cued
49.53789098408874,same_cued
42.36803221133596,same_cued
51.98172350664519,same_cued
40.84171327627459,same_cued
55.75592591022947,same_cued
48.68123502185572,same_cued
41.565720527907054,same_cued
50.610415974102786,same_cued
44.58160460039689,same_cued
63.94498321798141,same_cued
49.41441952473884,same_cued
50.68031704242236,same_cued
53.35455539798369,same_cued
41.87514777006992,same_cued
42.789133547832954,same_cued
42.08522534484573,same_cued
38.886063935931794,same_cued
40.47363380412569,same_cued
43.24741366999431,same_cued
47.309263953303876,same_cued
57.394153649471285,same_cued
57.60720757300961,same_cued
34.68035959679972,same_cued
43.888038763189996,same_cued
39.47861971727336,same_cued
57.240950368475616,same_cued
55.84315977154398,same_cued
50.14897994007928,same_cued
54.57187368175385,same_cued
47.098751289779536,same_cued
56.307517179290436,same_cued
30.978035039166855,same_cued
59.93816984419209,same_cued
73.34437938309507,same_cued
50.52773554799111,same_cued
74.28224369422703,same_cued
53.38007359946787,same_cued
60.43729571700188,same_cued
49.15806588522447,same_cued
61.88955513236282,same_cued
52.511063090353964,same_cued
41.260642129963664,same_cued
40.932752388601116,same_cued
41.164916817432434,same_cued
53.07195579023639,same_cued
42.9282521050854,same_cued
38.83310462068473,same_cued
41.96034562135778,same_cued
51.315965032080705,same_cued
46.789809378887604,same_cued
56.45519321696289,same_cued
43.50784863266346,same_cued
50.11191127089757,same_cued
39.98899087534524,same_cued
46.44950165577595,same_cued
54.03110408926489,same_cued
46.07604838788029,same_cued
48.73346574136502,same_cued
52.14658748706092,same_cued
58.535310301382594,same_cued
37.22296354592523,same_cued
36.52074707583332,same_cued
36.18290641753607,same_cued
37.047355520167415,same_cued
56.48440839735979,same_cued
62.32708165462859,same_cued
75.90842760244492,same_cued
51.86864733038445,same_cued
53.934051084167066,same_cued
46.706218592672435,same_cued
40.15179458762851,same_cued
