cued,coh_with,timepoint,ITcoherence,time
56,56,0,-1.2432080703550308,-0.5
56,56,1,-1.2417953683229,-0.4979166666666667
56,56,2,-1.2429639245631616,-0.49583333333333335
56,56,3,-1.2444837082965403,-0.49375
56,56,4,-1.2435503686701084,-0.4916666666666667
56,56,5,-1.2438196115769475,-0.48958333333333337
56,56,6,-1.2421326998571645,-0.48750000000000004
56,56,7,-1.2415042862275323,-0.4854166666666667
56,56,8,-1.2412295794854329,-0.4833333333333333
56,56,9,-1.241398191325934,-0.48124999999999996
56,56,10,-1.2425374066180226,-0.47916666666666663
56,56,11,-1.2431504028537705,-0.4770833333333333
56,56,12,-1.2434627668857887,-0.475
56,56,13,-1.2436947435358974,-0.47291666666666665
56,56,14,-1.243044291719384,-0.4708333333333333
56,56,15,-1.2429585799003526,-0.46875
56,56,16,-1.2427314966794314,-0.4666666666666667
56,56,17,-1.2429639384531055,-0.46458333333333335
56,56,18,-1.2437873528510597,-0.4625
56,56,19,-1.2442503877962596,-0.4604166666666667
56,56,20,-1.2448533906678152,-0.45833333333333337
56,56,21,-1.2450656493141434,-0.45625000000000004
56,56,22,-1.2448143778749985,-0.4541666666666667
56,56,23,-1.2448809546939885,-0.4520833333333333
56,56,24,-1.2446498313531555,-0.44999999999999996
56,56,25,-1.2449726377819232,-0.44791666666666663
56,56,26,-1.2455851867546424,-0.4458333333333333
56,56,27,-1.246071420074496,-0.44375
56,56,28,-1.2468161359649135,-0.44166666666666665
56,56,29,-1.2470179090862856,-0.4395833333333333
56,56,30,-1.2470284257036832,-0.4375
56,56,31,-1.2470813080108876,-0.4354166666666667
56,56,32,-1.246826872675941,-0.43333333333333335
56,56,33,-1.2471460148698406,-0.43125
56,56,34,-1.2475247029864993,-0.4291666666666667
56,56,35,-1.2480568101373641,-0.42708333333333337
56,56,36,-1.2488236300385,-0.42500000000000004
56,56,37,-1.2490384940262955,-0.4229166666666667
56,56,38,-1.2492407176754718,-0.4208333333333333
56,56,39,-1.249183464836344,-0.41874999999999996
56,56,40,-1.248894478318252,-0.41666666666666663
56,56,41,-1.2490743854642643,-0.4145833333333333
56,56,42,-1.2491617654439087,-0.4125
56,56,43,-1.2496709635119247,-0.41041666666666665
56,56,44,-1.250313842820514,-0.4083333333333333
56,56,45,-1.2505582287569288,-0.40625
56,56,46,-1.2508797447670128,-0.4041666666666667
56,56,47,-1.2506744878218585,-0.40208333333333335
56,56,48,-1.250354147310934,-0.4
56,56,49,-1.2502599773820702,-0.3979166666666667
56,56,50,-1.2500090026655093,-0.39583333333333337
56,56,51,-1.250358321346773,-0.39375000000000004
56,56,52,-1.2507097253539898,-0.3916666666666667
56,56,53,-1.2509606817493781,-0.3895833333333333
56,56,54,-1.2512929588675767,-0.38749999999999996
56,56,55,-1.2509532472075329,-0.38541666666666663
56,56,56,-1.2506138224451395,-0.3833333333333333
56,56,57,-1.250153690819021,-0.38125
56,56,58,-1.2495592005461853,-0.37916666666666665
56,56,59,-1.2495809420998218,-0.3770833333333333
56,56,60,-1.2494874085910133,-0.375
56,56,61,-1.249660484071832,-0.3729166666666667
56,56,62,-1.2498466843433058,-0.37083333333333335
56,56,63,-1.2494111282753015,-0.36875
56,56,64,-1.2490521802639365,-0.3666666666666667
56,56,65,-1.248207803195776,-0.36458333333333337
56,56,66,-1.2473188596118767,-0.36250000000000004
56,56,67,-1.2468668157946898,-0.3604166666666667
56,56,68,-1.2462368442858396,-0.3583333333333333
56,56,69,-1.2461929143771522,-0.35624999999999996
56,56,70,-1.2460485385625522,-0.35416666666666663
56,56,71,-1.2455408651809101,-0.3520833333333333
56,56,72,-1.2451212643813654,-0.35
56,56,73,-1.2439508574313245,-0.34791666666666665
56,56,74,-1.242855749022941,-0.3458333333333333
56,56,75,-1.2418544503394162,-0.34375
56,56,76,-1.240692172208491,-0.3416666666666667
56,56,77,-1.2402750041145907,-0.33958333333333335
56,56,78,-1.2396384696732536,-0.3375
56,56,79,-1.2390358200098803,-0.3354166666666667
56,56,80,-1.2384606258681448,-0.33333333333333337
56,56,81,-1.237068859762672,-0.33125000000000004
56,56,82,-1.2358564421181593,-0.3291666666666667
56,56,83,-1.2343256934894193,-0.3270833333333333
56,56,84,-1.2327288442201816,-0.32499999999999996
56,56,85,-1.231814928107263,-0.32291666666666663
56,56,86,-1.230601977844192,-0.3208333333333333
56,56,87,-1.2298307662698869,-0.31875
56,56,88,-1.228969017047814,-0.31666666666666665
56,56,89,-1.227458213964185,-0.3145833333333333
56,56,90,-1.2261748941394903,-0.3125
56,56,91,-1.224218270222868,-0.3104166666666667
56,56,92,-1.2223388169788143,-0.30833333333333335
56,56,93,-1.2208742917068722,-0.30625
56,56,94,-1.2191041810576935,-0.3041666666666667
56,56,95,-1.2180635011646435,-0.30208333333333337
56,56,96,-1.2167912971014139,-0.30000000000000004
56,56,97,-1.215219870926068,-0.2979166666666667
56,56,98,-1.2138468775893612,-0.2958333333333333
56,56,99,-1.2116114753408604,-0.29374999999999996
56,56,100,-1.2095985663928714,-0.29166666666666663
56,56,101,-1.2076089212253254,-0.2895833333333333
56,56,102,-1.2053895483362553,-0.2875
56,56,103,-1.2039851242071866,-0.28541666666666665
56,56,104,-1.2022293942895452,-0.2833333333333333
56,56,105,-1.2005963191916182,-0.28125
56,56,106,-1.1990595252739145,-0.2791666666666667
56,56,107,-1.1966880812618934,-0.27708333333333335
56,56,108,-1.1946408766499483,-0.275
56,56,109,-1.1922162179381055,-0.2729166666666667
56,56,110,-1.189701502868382,-0.27083333333333337
56,56,111,-1.1878732212191656,-0.26875000000000004
56,56,112,-1.1856338764261996,-0.2666666666666667
56,56,113,-1.183889593742421,-0.2645833333333333
56,56,114,-1.1820936776476172,-0.26249999999999996
56,56,115,-1.1796894600575798,-0.26041666666666663
56,56,116,-1.1776378999507549,-0.2583333333333333
56,56,117,-1.174906358260464,-0.25625
56,56,118,-1.1722502778096966,-0.25416666666666665
56,56,119,-1.169987303465398,-0.2520833333333333
56,56,120,-1.1673335645842364,-0.25
56,56,121,-1.165405600421698,-0.24791666666666667
56,56,122,-1.163273172061908,-0.24583333333333335
56,56,123,-1.1608860629727042,-0.24375000000000002
56,56,124,-1.1588002014620846,-0.2416666666666667
56,56,125,-1.1559007686501337,-0.23958333333333337
56,56,126,-1.1532251503015123,-0.23750000000000004
56,56,127,-1.1505703367364792,-0.23541666666666672
56,56,128,-1.1476210168090875,-0.23333333333333328
56,56,129,-1.1454424976955673,-0.23124999999999996
56,56,130,-1.1429426416730006,-0.22916666666666663
56,56,131,-1.14057318714995,-0.2270833333333333
56,56,132,-1.1383894738821698,-0.22499999999999998
56,56,133,-1.135449072792874,-0.22291666666666665
56,56,134,-1.1328286850963472,-0.22083333333333333
56,56,135,-1.1298739521105816,-0.21875
56,56,136,-1.1267723053396397,-0.21666666666666667
56,56,137,-1.1243061342378216,-0.21458333333333335
56,56,138,-1.1214666072821937,-0.21250000000000002
56,56,139,-1.119080548750803,-0.2104166666666667
56,56,140,-1.1167315400471194,-0.20833333333333337
56,56,141,-1.1138466473190798,-0.20625000000000004
56,56,142,-1.1113067219380246,-0.20416666666666672
56,56,143,-1.1081784549436566,-0.20208333333333328
56,56,144,-1.1050661137651814,-0.19999999999999996
56,56,145,-1.1023198865858195,-0.19791666666666663
56,56,146,-1.0992232514713116,-0.1958333333333333
56,56,147,-1.0967698875449798,-0.19374999999999998
56,56,148,-1.09420805436285,-0.19166666666666665
56,56,149,-1.091430804615685,-0.18958333333333333
56,56,150,-1.0889511961474287,-0.1875
56,56,151,-1.0857849360319392,-0.18541666666666667
56,56,152,-1.0827753816292505,-0.18333333333333335
56,56,153,-1.079802611787618,-0.18125000000000002
56,56,154,-1.07656796526433,-0.1791666666666667
56,56,155,-1.0739970993369035,-0.17708333333333337
56,56,156,-1.0712078358212955,-0.17500000000000004
56,56,157,-1.0685378172270628,-0.17291666666666672
56,56,158,-1.0660606220019004,-0.17083333333333328
56,56,159,-1.062967909262659,-0.16874999999999996
56,56,160,-1.0601205496854804,-0.16666666666666663
56,56,161,-1.057005526461496,-0.1645833333333333
56,56,162,-1.053757944032561,-0.16249999999999998
56,56,163,-1.051030829669522,-0.16041666666666665
56,56,164,-1.0480323980408361,-0.15833333333333333
56,56,165,-1.0454155134441834,-0.15625
56,56,166,-1.0428549336482023,-0.15416666666666667
56,56,167,-1.039889207720545,-0.15208333333333335
56,56,168,-1.0371879470826608,-0.15000000000000002
56,56,169,-1.0340154442355378,-0.1479166666666667
56,56,170,-1.0308470153434994,-0.14583333333333337
56,56,171,-1.027937548113129,-0.14375000000000004
56,56,172,-1.0247673251268101,-0.14166666666666672
56,56,173,-1.0221015591499387,-0.13958333333333328
56,56,174,-1.019354671667553,-0.13749999999999996
56,56,175,-1.0164847190562165,-0.13541666666666663
56,56,176,-1.013826578530672,-0.1333333333333333
56,56,177,-1.0106422237682362,-0.13124999999999998
56,56,178,-1.0075712622534287,-0.12916666666666665
56,56,179,-1.0044554395691216,-0.12708333333333333
56,56,180,-1.0011436276113537,-0.125
56,56,181,-0.9982895793345263,-0.12291666666666667
56,56,182,-0.995245480362039,-0.12083333333333335
56,56,183,-0.9923435500702809,-0.11875000000000002
56,56,184,-0.9895420692673271,-0.1166666666666667
56,56,185,-0.9863129342515532,-0.11458333333333337
56,56,186,-0.9832505741287562,-0.11250000000000004
56,56,187,-0.9798850042562338,-0.11041666666666672
56,56,188,-0.976419438240814,-0.10833333333333328
56,56,189,-0.97321201153857,-0.10624999999999996
56,56,190,-0.9697557714151392,-0.10416666666666663
56,56,191,-0.9666038716637328,-0.1020833333333333
56,56,192,-0.9634085180528262,-0.09999999999999998
56,56,193,-0.9599950246553104,-0.09791666666666665
56,56,194,-0.95672942851375,-0.09583333333333333
56,56,195,-0.9530229985902422,-0.09375
56,56,196,-0.9493117760048935,-0.09166666666666667
56,56,197,-0.9455686836890944,-0.08958333333333335
56,56,198,-0.9415765161760772,-0.08750000000000002
56,56,199,-0.9378896077604888,-0.0854166666666667
56,56,200,-0.9340171496244696,-0.08333333333333337
56,56,201,-0.9301659461769097,-0.08125000000000004
56,56,202,-0.9263723244473324,-0.07916666666666672
56,56,203,-0.9221587699007112,-0.07708333333333328
56,56,204,-0.9180009372239635,-0.07499999999999996
56,56,205,-0.913524426173899,-0.07291666666666663
56,56,206,-0.9088486620464371,-0.0708333333333333
56,56,207,-0.9043088412452049,-0.06874999999999998
56,56,208,-0.8994778040906408,-0.06666666666666665
56,56,209,-0.8948409441192664,-0.06458333333333333
56,56,210,-0.8901199653835135,-0.0625
56,56,211,-0.885142338744658,-0.060416666666666674
56,56,212,-0.8802196665953786,-0.05833333333333335
56,56,213,-0.874791511671948,-0.05625000000000002
56,56,214,-0.8692395451080324,-0.054166666666666696
56,56,215,-0.8635328497557209,-0.05208333333333337
56,56,216,-0.8574908796046037,-0.050000000000000044
56,56,217,-0.8516705286122912,-0.04791666666666672
56,56,218,-0.8456096481910713,-0.04583333333333328
56,56,219,-0.8395285694451445,-0.043749999999999956
56,56,220,-0.8334306593854255,-0.04166666666666663
56,56,221,-0.8268066500795075,-0.039583333333333304
56,56,222,-0.8201256022626457,-0.03749999999999998
56,56,223,-0.812974057102676,-0.03541666666666665
56,56,224,-0.8055119577184,-0.033333333333333326
56,56,225,-0.7981234318828281,-0.03125
56,56,226,-0.7903679784995664,-0.029166666666666674
56,56,227,-0.7828017289616278,-0.027083333333333348
56,56,228,-0.7750896145109472,-0.025000000000000022
56,56,229,-0.7670054939480978,-0.022916666666666696
56,56,230,-0.7588897431088688,-0.02083333333333337
56,56,231,-0.7500759576636005,-0.018750000000000044
56,56,232,-0.7410308302227235,-0.01666666666666672
56,56,233,-0.7317722503756176,-0.014583333333333282
56,56,234,-0.7220897664733004,-0.012499999999999956
56,56,235,-0.7126856245863246,-0.01041666666666663
56,56,236,-0.7029861916444231,-0.008333333333333304
56,56,237,-0.693187645901606,-0.006249999999999978
56,56,238,-0.683323778585242,-0.004166666666666652
56,56,239,-0.6727111982808742,-0.002083333333333326
56,56,240,-0.6619697362211968,0.0
56,56,241,-0.6506844550084763,0.002083333333333437
56,56,242,-0.6390079907439262,0.004166666666666652
56,56,243,-0.6275319817973795,0.006250000000000089
56,56,244,-0.6156405745852928,0.008333333333333304
56,56,245,-0.6039413881407513,0.01041666666666674
56,56,246,-0.5920906064745426,0.012499999999999956
56,56,247,-0.5796445495279616,0.014583333333333393
56,56,248,-0.5671590298345319,0.016666666666666607
56,56,249,-0.5538765364801168,0.018750000000000044
56,56,250,-0.5403183816196186,0.02083333333333326
